exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
481	priyome	academic	rr4k1/4ppbp/bn1p1np1/qBpP2B1/P3P3/R1N2P1N/1P2Q1PP/5RK1 b - - 0 1	black	Nfd7 Bxa6 Bxc3 Rxc3 Nxa4 Bd2 Qxa6 b3 Rb5 Qxb5 f6	f6d7 b5a6 g7c3 a3c3 b6a4 g5d2 a5a6 b2b3 b8b5 e2b5 f7f6	15...Nfd7! By opening the diagonal Black creates a tactical threat against White’s piece configuration on the queenside. That is important, as it means White has no time for Bxe7. 15...Nxa4!? is also playable, based on the following line: 16.Bxa6 Nxc3 17.Qc4! Qxa3! 18.bxa3 Nd7!² Black wins the bishop on a6 and should be okay. This also counts as a correct solution – but only if you calculated this entire line. 16.Rfa1 16.Bxe7? Bxc3 17.Rxc3 Nxa4 wins an exchange. White collapsed after the game continuation: 16.Bd2?! Bxb5 17.Nxb5 Qa6µ The pawns on b2 and a4 are threatened, and 18.b3 runs into: 18...Nxd5! (Kasparov played 18...Nc8 and eventually won, but the text move is much stronger.) 19.exd5 Rxb5 20.Qxe7 Rb7–+ Black will destroy the white queenside with ...Bb2 and ...Rxb3. 16...Bxc3 17.bxc3 Bxb5 18.Qxb5 f6= Defending against Bxe7 without losing a tempo. Black will sooner or later win back a pawn on the queenside.	Lutz	Kasparov	Horgen	1994	Lutz – Kasparov, Horgen 1994	369	369
482	priyome	academic	r1r2qk1/1p2pp1p/3p2p1/p1nbb3/2P1P3/PP2BP2/2RQ2PP/1R3BK1 w - - 0 1	white	exd5 a4 b4 Nb3 Qf2	e4d5 a5a4 b3b4 c5b3 d2f2	21.exd5 After this move, White can either advance on the queenside with a timely b2-b4, or prepare a gradual attack on the kingside. It is best to keep the c-file closed, as 21.cxd5 a4!= enables Black to create immediate counterplay on the queenside. 21.Qxd5!?² is a decent option which keeps an edge for White. 21...Qg7? 21...a4?! 22.b4 Nb3 23.Qf2±; Black should keep a tighter queenside defence with 21...b6. 22.b4 axb4 23.axb4 Na4 24.c5+– The last move seems strongest, although Khalifman’s 24.Rb3 also maintained a near-decisive advantage.	Khalifman	Hracek	Pardubice	1994	Khalifman – Hracek, Pardubice 1994	370	370
483	priyome	academic	r3r1k1/1p1bqpbp/p1pp1np1/2n5/2PNP3/1PN1BPPP/P1Q3B1/R3R1K1 b - - 0 1	black	Nh5 Kh2 Nf4 Kh1	f6h5 g1h2 h5f4 h2h1	15...Nh5 Black has an inferior pawn structure and needs to create play before White is fully developed. 16.Kh2 16.g4 Nf4!„ was the game. 16...f5 17.exf5 Nxg3! 18.Kxg3 Bxd4 19.Bxd4 Qg5+ 20.Kh2 Qf4+ 21.Kh1 Qxd4„ A nice line, but you don’t need to see all of it to decide on the standard move 15...Nh5.	Nikolic	Kasparov	Tel Aviv (Simul)	1994	Nikolic – Kasparov, Tel Aviv (Simul) 1994	371	371
484	priyome	academic	2kr3r/pppbqpb1/2n1p2p/4P3/4NQ1P/5N2/PPP3P1/2KR1B1R b - - 0 1	black	Nb8 Nd6+ cxd6 Qb4 Bc6 Qc5 Nd7	c6b8 e4d6 c7d6 f4b4 d7c6 b4c5 b8d7	14...Nb8! Activating the light-squared bishop. 14...Nb4? allows: 15.Nd6+! cxd6 16.Qxb4² 15.Be2 15.Nd4 Bc6 16.Nf6 Bxf6 17.exf6 Qc5= 15...Bc6 16.Nf6 Nd7 Black’s regrouping is complete, and White should have exchanged knights with a balanced position.	Adams	Karpov	Las Palmas	1994	Adams – Karpov, Las Palmas 1994	371	371
485	priyome	academic	2rqr1k1/1b1nppbp/pp1p1np1/8/2P4Q/1PN1BNP1/P3PPBP/2RR2K1 w - - 0 1	white	Bh3 Bh6 g4 g5 Qxh6 b5 cxb5 axb5 Nxb5 Qb6 Rc7 Qd4	g2h3 g7h6 g3g4 g6g5 h4h6 b6b5 c4b5 a6b5 c3b5 d8b6 c1c7 b6d4	14.Bh3! This move not only pins the d7-knight, but also serves an important purpose in controlling the g4-square, helping to prepare both Bh6 and g3-g4-g5. 14.g4 is met by 14...h6! when Bxh6 doesn’t win a pawn, and 15.h3 g5÷ is satisfactory for Black. 14.Bh6 allows 14...Bxh6 15.Qxh6 b5! 16.cxb5 axb5 17.Nxb5?! Qb6³ when ...Ng4 (or ...Qxf2+) is a threat. 14...Rc7 15.Bh6 15.g4 is also possible. 15...Rc5 15...b5 16.Bxg7 Kxg7 17.cxb5 axb5 18.Nxb5 leaves Black with insufficient compensation. 16.Bxg7 Kxg7 17.Qd4²	Kramnik	Karpov	Monte Carlo (Blindfold)	1994	Kramnik – Karpov, Monte Carlo (Blindfold) 1994	372	372
486	priyome	academic	r4r2/1ppbqpk1/n2p1np1/p2Pp2p/2P1P3/PPN2P2/3NBQPP/R4R1K b - - 0 1	black	h4 f4 Nxd5 Rfb1 Rh8 h3	h5h4 f3f4 f6d5 f1b1 f8h8 h2h3	18...h4! Preparing ...Nh5 and ...Rh8 with play on the h-file. 19.f4?! Acting before Black has created threats, but it does not make things better. 19.Qxh4 Nxd5µ is a tactical justification, but 18...h4 could also have been played as a pawn sacrifice with the open h-file providing compensation. 19.Rfb1 seems best, although 19...Nh5 20.b4 Rh8ƒ gives Black nice play. 19...exf4 20.Qxf4 h3³ White will be weak around the king, and has weak dark squares as well.	Gulko	Kasparov	Moscow (Rapid)	1995	Gulko – Kasparov, Moscow (Rapid) 1995	373	373
487	priyome	academic	r2q1rk1/pp2ppbp/3pbnp1/8/2P1P3/2N1Q3/PP2BPPP/1RB2RK1 b - - 0 1	black	Qb6 Qg3 Rfc8 b3	d8b6 e3g3 f8c8 b2b3	11...Qb6! Offering an exchange, as Black has less space. Against 11...Ng4?! White can exchange the restricted light-squared bishop, but can also go 12.Qg3 Ne5 13.f4!± when it is not possible to capture on c4, and f4-f5 follows. 12.Qd3 Black’s last move developed the queen for free, and if White plays Be3 the queen can continue to b4 to attack a pawn. After 12.Qxb6 axb6 the b6-pawn is easily defended, while Black intends ...Rfc8, or perhaps ...Nd7 with threats such as ...Bxc3 followed by ...Rxa2. A possible continuation is 13.a3 Rfc8 14.b3 b5! with good counterplay.	Krasenkow	Khalifman	Elista	1995	Krasenkow – Khalifman, Elista 1995	373	373
488	priyome	academic	r1b2rk1/1p2bppp/p2ppn2/q7/3QPP2/2N1B3/PPP1B1PP/2KR3R w - - 0 1	white	Qb6 Qxb6 Bxb6 Ne8 e5 d5 f5	d4b6 a5b6 e3b6 f6e8 e4e5 d6d5 f4f5	12.Qb6! White is often happy with a queen exchange on b6 in the open Sicilian. 12...Qxb6 13.Bxb6 Black has a hard time completing development, and the d6-pawn may prove vulnerable in some lines. 13...Ne8 13...Bd7 14.e5 Ne8 15.Bc5!+– 14.e5 d5 15.f5± Anand’s choice, following up with Bg4. 15.Bf3!?± is an excellent alternative, threatening to capture twice on d5 and trap the bishop on e7.	Anand	Kamsky	Las Palmas	1995	Anand – Kamsky, Las Palmas 1995	374	374
489	priyome	academic	1r4k1/2n1ppbp/r2p2p1/2pP4/n3P3/P1N3PP/1PR1NPK1/R1B5 b - - 0 1	black	f5 f3 fxe4 fxe4 Nb5 Bd2 Nbxc3 Bxc3 Nxc3 Nxc3 Be5	f7f5 f2f3 f5e4 f3e4 c7b5 c1d2 b5c3 d2c3 a4c3 e2c3 g7e5	20...f5! Indirectly threatening the d5-pawn. Often, ...f7-f5 weakens the e6-square and e7-pawn considerably; but without queens, White is far too passive to make use of those weaknesses. 20...Rb3© 21.f3 The normal reaction. 21...fxe4 22.fxe4³ Compared to the starting position of the exercise, the e4-pawn is an additional weakness that can be attacked with ...Ra4 and/or ...Nf6. A sample line: 22...Nb5 23.Bd2 Nbxc3 24.Bxc3 Nxc3 25.Nxc3 Be5³ White is unable to do anything with the extra pawn, and Black may advance on the kingside to create an additional target.	Beliavsky	Khalifman	Linares	1995	Beliavsky – Khalifman, Linares 1995	375	375
490	priyome	academic	3rr1k1/1p2bppp/p1bppn2/q7/P3PP2/2NQBB2/1PP3PP/R2R3K w - - 0 1	white	b4 Qc7 Rdb1 Qa5 Bb6 Bd7	b2b4 a5c7 d1b1 c7a5 e3b6 c6d7	17.b4! Gaining space by a tactical idea. 17...Qc7 17...Qxb4? 18.Rdb1 Qa5 19.Bb6 and the queen is trapped. 18.b5! Otherwise Black pushes ...d6-d5. 18...Bd7 19.Rab1±	Anand	Kasparov	New York (9)	1995	Anand – Kasparov, New York (9) 1995	375	375
491	priyome	academic	2r2r2/p3ppk1/1q1p1np1/2pP3p/2B4P/1P3P2/P1PQ2P1/R3K2R b KQ - 0 1	black	e5 O-O-O e4 Qb4 a5 Be2 Rfd8 c4	e7e5 e1c1 e5e4 d2b4 a7a5 c4e2 f8d8 c2c4	18...e5! Black gets rid of the backward pawn on e7. 18...e6 is simply met by: 19.0-0-0 19.dxe6?! 19.0-0-0 is the lesser evil, when Black has several options. (19...e4³ questions White’s pawn structure; 19...Qb4³ angles for a promising endgame; 19...a5³ prepares a slow attack.) 19...d5! 20.Be2 Black has become active and has many good moves20.Bxd5? Rfd8 21.c4 fxe6 wins the bishop. 20...c4 Kasparov later commented that he was happy to “prevent castling on two wings with one move” (as castling long loses the b3-pawn).	Anand	Kasparov	New York (13)	1995	Anand – Kasparov, New York (13) 1995	376	376
492	priyome	academic	r2qrbk1/1b3p2/p1pp1np1/1pnPp2p/4P3/2P2NNP/PPB2PP1/R1BQR1K1 w - - 0 1	white	b4 Ncd7 dxc6 Bxc6 Bb3	b2b4 c5d7 d5c6 b7c6 c2b3	18.b4 Capturing on c6 first would give the knight the e6-square. 18...Ncd7 19.dxc6 Bxc6 20.Bb3² Black won’t be able to push ...d6-d5.	Anand	Ivanchuk	Dos Hermanas	1996	Anand – Ivanchuk, Dos Hermanas 1996	377	377
493	priyome	academic	rnbqkb1r/5ppp/p2p1p2/1ppP4/4P3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 1	white	a4 b4 Bd3	a2a4 b5b4 f1d3	7.a4 Forcing the b-pawn to move is a good idea with the knight still on b1. 7...b4 8.Bd3² White follows up with Nbd2 and Nc4.	Kasparov	Graf	Moscow (Rapid)	1996	Kasparov – Graf, Moscow (Rapid) 1996	377	377
494	priyome	academic	r1bqkb1r/pp1n1pp1/2p1pn1p/6N1/3P4/3B1N2/PPP2PPP/R1BQK2R w KQkq - 0 1	white	Nxe6 Qe7 Bg6	g5e6 d8e7 d3g6	8.Nxe6 Qe7?! After 8...fxe6 9.Bg6+ Ke7 10.0-0 White has scored excellently in practice. The next few moves are likely to be Re1 and c2-c4. Black’s best chance is to put the queen on c7 and king on d8, preparing to develop the kingside. 9.0-0 fxe6 10.Bg6+ Kd8 11.Bf4± Black is too passive and the king has long-term problems. There have been many games, White winning almost all of them.	Deep Blue	Kasparov	New York (6)	1997	Deep Blue – Kasparov, New York (6) 1997	378	378
495	priyome	academic	2rr2k1/1bq1bpp1/p2ppn1p/1p5P/4P2B/5P2/PPPQN1P1/1K2RB1R b - - 0 1	black	e5 Bg3 d5 Nc3	e6e5 h4g3 d6d5 e2c3	17...e5! 17...d5? allows 18.e5! with the following justification: 18...Qxe5 19.Bg3 Qf5 20.Nd4 Qh7 21.Bd3 Qh8 White is winning even without finding the decisive: 22.Nxe6! fxe6 23.Rxe6+– 18.Bxf6 The only way to stop ...d6-d5. 18.Nc3 d5!µ 18...Bxf6 19.Nc3 Bg5µ A problem for White is that Nd5 followed by Qxd5 isn’t possible due to the loose c2-pawn. Black can push the queenside pawns with an attack.	Ivanchuk	Anand	Linares	1998	Ivanchuk – Anand, Linares 1998	378	378
496	priyome	academic	r1b1k2r/1pp2pp1/2p4p/p3Pn2/1b6/1PN2N1P/PBP2PP1/R2R2K1 b kq - 0 1	black	Bxc3 Bxc3 a4	b4c3 b2c3 a5a4	13...Bxc3! The Berlin endgame gives Black the bishop pair, but perhaps a more important theme is to play for domination of the light squares. That can be achieved by swapping the dark-squared bishop for a knight, and reaching a position with opposite-coloured bishops on the board. Of course, it’s important not to allow e5-e6 under favourable conditions. Some might argue against this exchange, but it’s not only Anand’s choice to beat a computer – it has also been played by Kramnik in similar positions. 14.Bxc3 a4= 14...c5 was the game.	Fritz 5	Anand	Frankfurt (Rapid)	1998	Fritz 5 – Anand, Frankfurt (Rapid) 1998	379	379
497	priyome	academic	5rk1/2pbnpp1/qb1p1n1p/1p2p3/1P1PP3/N1P2N1P/1BBQ1PP1/5RK1 b - - 0 1	black	exd4 cxd4 d5 e5 Ne4 Qe3 Nc6	e5d4 c3d4 d6d5 e4e5 f6e4 d2e3 e7c6	17...exd4! Black exchanges the vulnerable e5-pawn. The game went 17...Ng6?! reaching another exercise. 18.cxd4 d5 18...Ng6 19.d5 Nh5÷ is a valid alternative. 19.e5 Ne4 A standard method against the d4/e4 pawn centre. 20.Qe3 White is not really threatening to take on e4, as Black gets compensation on the light squares. Black also has a move to create counterplay. 20...Nc6÷	Topalov	Anand	Dos Hermanas	1999	Topalov – Anand, Dos Hermanas 1999	380	380
498	priyome	academic	r1bqk2r/4bppp/p3pn2/np6/3P4/2N2N2/PPB2PPP/R1BQR1K1 w kq - 0 1	white	d5 b4 Bd2 Qxd5 Bg5 O-O Qd3 g6 Bf4	d4d5 b5b4 c1d2 d8d5 d2g5 e8g8 d1d3 g7g6 g5f4	12.d5! The standard break, possible since Black hasn’t castled yet. 12...b4 12...Nxd5 13.Nxd5 Qxd5 is met by 14.Bd2!± intending Be4 and Rc1, when Black will do well to survive. (14.Qxd5 exd5²); 12...exd5? 13.Bg5 0-0 14.Rxe7!+–; 12...0-0 is a better try, although it does not fully solve Black’s problems. 13.Qd3 g6 14.Bf4² 13.Ba4+± Black has to move the king, and the position continues to open up.	Kramnik	Karpov	Frankfurt (Rapid)	1999	Kramnik – Karpov, Frankfurt (Rapid) 1999	380	380
499	priyome	academic	5rk1/1br1qppp/p3p3/1pnpP3/1b1N1P1P/1P1BB3/P1P1Q1P1/1K1R3R w - - 0 1	white	f5 Bc3 Qg4 Nxd3 Rxd3 Bxd4 Bf4 f6	f4f5 b4c3 e2g4 c5d3 d1d3 c3d4 e3f4 f7f6	21.f5! Threatening to destroy Black’s king shelter with f5-f6. 21...Bc3 After 21...exf5 22.Nxf5 Qxe5 23.Qg4 Nxd3 24.Rxd3 White wins with Bd4 or Bf4 next. 22.f6 gxf6 23.Bxh7+ White’s attack is decisive.	Anand	Shirov	Monte Carlo (Rapid)	2000	Anand – Shirov, Monte Carlo (Rapid) 2000	381	381
500	priyome	academic	1r1q1rk1/pb1nbppp/2p1p3/4P3/3PB3/p4N2/1P3PPP/R1BQ1RK1 w - - 0 1	white	b4 c5 Bxh7+ Kxh7 Ng5+ Kg6 h4 Rh8 Qd3+ f5 exf6+ Kxf6 Qf3+	b2b4 c6c5 e4h7 g8h7 f3g5 h7g6 h2h4 f8h8 d1d3 f7f5 e5f6 g6f6 d3f3	16.b4! Directed against ...c6-c5. 16.bxa3 c5= 16...f5 16...Bxb4? stops protecting the g5-square, thus allowing: 17.Bxh7+! (17.Qb3? merely gives positional compensation.) 17...Kxh7 18.Ng5+ Kg6 19.h4 Rh8 20.Qd3+ f5 21.exf6+ Kxf6 22.Qf3++– 17.Bd3² Black’s backward c-pawn and bad bishop will remain after White picks up the a3-pawn. 17...Bxb4?! is inadvisable since 18.Bc4 wins the e6- pawn. (White can follow up with Qb3 and/or Ng5 if necessary.)	Khalifman	Bareev	Dortmund	2000	Khalifman – Bareev, Dortmund 2000	382	382
501	priyome	academic	r2q1rk1/pbn1bppp/1p3n2/2ppN3/3P4/1PN1B1P1/P3PPBP/R2QR1K1 w - - 0 1	white	dxc5 bxc5 Na4 Ne6 Rc1 Rc8 Nd3 d4 Bf4 Nxf4 Nxf4 Bxg2 Nxg2 Qa5 Nf4	d4c5 b6c5 c3a4 c7e6 a1c1 a8c8 e5d3 d5d4 e3f4 e6f4 d3f4 b7g2 f4g2 d8a5 g2f4	14.dxc5! Giving Black vulnerable hanging pawns. 14.Rc1 cxd4 and Black somehow semi-escapes. 14...bxc5 White follows up with threat after threat. 15.Na4 Ne6 16.Rc1 Rc8 16...Qb8!? is Stockfish’s choice, to defend the bishop and be able to move the d-pawn. 17.Nd3 d4 18.Bf4 Nxf4 19.Nxf4 Bxg2 20.Nxg2² 17.Nd3 Qa5 17...Nd7 18.Nf4! Nxf4 19.gxf4² and Black loses a pawn. 18.Naxc5! Bxc5 19.Bxc5 Nxc5 20.Rxc5 Rxc5 21.b4 Qxa2 22.bxc5± White is better placed to exploit the open files on the queenside and has two weak pawns to attack. Anand went on to win a nice game.	Anand	Gelfand	Shenyang	2000	Anand – Gelfand, Shenyang 2000	383	383
502	priyome	academic	qr4k1/r2nppbp/b2p1np1/2pP4/7N/2N3P1/PPQ1PPBP/R1BR2K1 w - - 0 1	white	Rb1 Bc4	a1b1 a6c4	14.Rb1! Preparing b2-b3 as a response to ...Bc4. (The rook needs to leave a1 before the long diagonal opens.) A good set-up is to have the pawns on b3 and a4. 14.b3 c4!©; 14.e4? Bc4µ and White can’t untangle.	Karpov	Staikopoulos	Rethymno (Simul)	2001	Karpov – Staikopoulos, Rethymno (Simul) 2001	384	384
503	priyome	academic	r3r1k1/ppqb1pbp/n1pp1np1/8/2PNP3/2N2P2/PP4PP/1RBQRBK1 b - - 0 1	black	d5 Bg5 Qb6	d6d5 c1g5 c7b6	14...d5! Fighting for the centre and getting rid of a potentially weak pawn. 14...Rad8 can be met by 15.Bg5 (or 15.Bf4) and it’s too late. 15.cxd5 Nxd5! Exchanging knights opens the diagonal for the bishop on g7. 15...cxd5 16.Ndb5² 16.exd5 Rxe1 17.Qxe1 Bxd4+ 18.Be3 Qb6=	Kramnik	Piket	Monte Carlo (Rapid)	2001	Kramnik – Piket, Monte Carlo (Rapid) 2001	384	384
504	priyome	academic	3q1rk1/rb2bppp/p3pn2/np4B1/3P1Q2/2N2N2/PPB2PPP/3R1RK1 w - - 0 1	white	d5 Bxd5 Nxd5 exd5 Qh4 h6 Rfe1 Rc7 Rxd5 h5 Bxf6	d4d5 b7d5 c3d5 e6d5 f4h4 h7h6 f1e1 a7c7 d1d5 h6h5 g5f6	15.d5! The thematic break, making use of the d-file (rook against the queen) and the h4-d8 diagonal. A few key variations secure White a clear advantage, and that’s chess: positional moves are backed up by concrete calculation. 15...Bxd5 Other captures are worse: 15...Nxd5? 16.Bxh7+ Kxh7 17.Qh4+ Kg8 (17...Kg6 18.g4 Bxg5 19.Qh5+ Kf6 20.Qxg5#) 18.Rxd5!+– After the knight lands on g5, Black will have to give up the queen. 15...exd5? 16.Qh4 h6 (16...g6 17.Rfe1+– and the pin decides.) 17.Bxh6 with a mating attack. 16.Nxd5 16.Ne5? Rc7³ 16...exd5 16...Nxd5 can be refuted in more than one way. For instance: 17.Rxd5 exd5 18.Bxh7+ Kxh7 19.Qh4+ Kg6 (19...Kg8 20.Bxe7 Qxe7 21.Ng5+–) 20.Ne5+ Kf5 21.Qg4+ Kxe5 22.Bf4+ Kf6 23.Re1 With mate on the next move. 17.Qh4 h5± Other moves lose in the same way as after 15...exd5. After the text move, White should not hurry to pick up the pawn with Bxf6 and Qxh5, but instead play for an attack. 18.g4!? is one of a few good options.	Kramnik	Anand	Dortmund	2001	Kramnik – Anand, Dortmund 2001	385	385
505	priyome	academic	2rqrbk1/pb1n1ppp/1ppppn2/3P4/2P1P3/P1N1B1N1/1P1QBPPP/R4RK1 w - - 0 1	white	dxe6 d5 Rfe1 Nc5 Rad1	d5e6 d6d5 f1e1 d7c5 a1d1	14.dxe6! Black wanted to exchange several times on d5, with a static pawn structure. 14.Rfe1 exd5 15.exd5 cxd5 16.cxd5 Nc5² 14...fxe6 14...Rxe6 15.Rad1± 15.f4± Black has an extra central pawn, but no good way to use the pawns.	Kasparov	Kramnik	Moscow (Rapid)	2001	Kasparov – Kramnik, Moscow (Rapid) 2001	386	386
506	priyome	academic	rnbq1r1k/1p4pp/p1pbpn2/3p1p2/2PP4/2NBPP2/PPQ1N1PP/R1B2RK1 w - - 0 1	white	c5 Bc7 b4 Nbd7 Bd2	c4c5 d6c7 b2b4 b8d7 c1d2	10.c5 Gaining space on the queenside before Black has time for ...Qc7, hitting the h2-pawn. The downside with c4-c5 is that it allows Black to push his e-pawn without weakening d5. However, Black will first have to play ...g7-g6 to defend f5; and when ...e6-e5 finally comes, White has more than one way to deal with it. 10.b3 dxc4 11.bxc4 c5= 10...Bc7 11.b4 Nbd7 12.Bd2± When ...e6-e5 eventually happens, White will most likely be able to meet it with e3-e4, exploiting his lead in development. A second possibility is to play dxe5 followed by f3-f4, gaining an outpost on d4 and intending to play on the dark squares.	Kramnik	Tregubov	France	2002	Kramnik – Tregubov, France 2002	386	386
507	priyome	academic	r1b2rk1/pp1nqppp/2pbpn2/3p4/2PP4/2NBPN2/PPQ2PPP/R1B2RK1 w - - 0 1	white	c5 e5 e4 dxe4 Nxe4 Nxe4 Bxe4 h6 Re1	c4c5 e6e5 e3e4 d5e4 c3e4 f6e4 d3e4 h7h6 f1e1	9.c5 Avoiding ...dxc4. 9.e4 dxc4 10.Bxc4 e5= 9...Bc7 10.e4! Before Black gets time for ...e6-e5. 10...e5? Black is not ready for this. 10...dxe4 11.Nxe4 Nxe4 12.Bxe4 h6 13.Re1± The square on d5 is outweighed by the bad bishop on c8. 11.exd5 cxd5 12.Re1!? 12.Bg5+– was the game. 12...e4 13.Nxd5! Nxd5 14.Bxe4+– White will be at least a pawn up.	Karpov	Kosteniuk	Manises (Rapid) (1)	2002	Karpov – Kosteniuk, Manises (Rapid) (1) 2002	387	387
508	priyome	academic	r1b2rk1/pp1nqppp/2pb1n2/4p3/2BP4/2N1PN1P/PPQ2PP1/R1B2RK1 w - - 0 1	white	a3 e4 Ne5 Bc7 Re1 Nb6 Ba2 Bf5 f3 Nbd5 Nxe4 Rae8 Qf2 Bxe4 fxe4 h6 Bd2	a2a3 e5e4 f3e5 d6c7 f1e1 d7b6 c4a2 c8f5 f2f3 b6d5 c3e4 a8e8 c2f2 f5e4 f3e4 h7h6 c1d2	A difficult position where the main point is to understand that White wants to play useful prophylactic moves, waiting for a reaction in the centre. Possible moves are Bb3 (avoiding ...Nb6 with tempo), a2-a3, h2-h3 (already played), Bd2 and Rad1/e1. Black also has prophylactic moves: ...Bc7/b8, ...h7-h6 and ...Re8. Apologies in advance for the number of variations below. They are included to aid our understanding of this pawn structure. 11.a3! 11.Bb3 was Karpov’s choice, and a natural move. However, the bishop is better on a2, as there are some possible lines where ...Nd7-c5 might hit the bishop on b3. 11.dxe5?! Nxe5 12.Nxe5 Bxe5= frees Black’s game, and the bishop can go to e6 in the near future. 11.e4 exd4 12.Nxd4 Ne5= 11...Bc7 11...Nb6? 12.dxe5±; 11...exd4?! 12.exd4 Nb6 13.Re1±; The possible downside of playing a2-a3 instead of Bc4-b3 is shown after 11...e4!? 12.Ng5 Nb6, but White is still better with exact play. 13.Ba2 Bf5 14.f3 A must before ...h7- h6. 14...Nbd5 15.Ngxe4 (15.Ncxe4 Rae8=) 15...Nxe4 16.Nxe4 Rae8 17.Qf2! Bxe4 18.fxe4 Qxe4 19.Bb1± The e3-pawn will march to e4 and e5 with gain of time. 12.Ba2 h6 Preparing ...e5-e4. 12...Re8 13.Bd2 h6 14.Nb5!± gains time for Bb4. After Black’s last move we have transposed to Karpov – Anand from Exercise 161, where we saw that 13.Nh4² is a good move.	Karpov	Kosteniuk	Manises (Rapid) (3)	2002	Karpov – Kosteniuk, Manises (Rapid) (3) 2002	388	388
509	priyome	academic	q4r2/1brnppkp/pp1p1np1/8/2P4Q/1PN3P1/P3PPBP/2RRN1K1 b - - 0 1	black	b5 e3 d5 cxd5 Nxd5 Nxd5 Rxc1 Rxc1 Rc8 Nc2 Ne5	b6b5 e2e3 d6d5 c4d5 f6d5 c3d5 c7c1 d1c1 f8c8 e1c2 d7e5	16...b5! A pawn lever that works more often when White has fianchettoed the light-squared bishop (thus controlling d5, but not b5). The downside with 16...Bxg2 17.Nxg2 b5 is that it allows the knight to hop from g2 to e3, with equal chances. (Note that 17...d5? is too shaky, and 18.cxd5 Nxd5 19.Nxd5 Rxc1 20.Rxc1 Qxd5 21.Qxe7 picks up a pawn.) 17.Nd5 17.cxb5? Bxg2 18.Nxg2 Rfc8–+; 17.Bxb7 Qxb7 18.Nc2 bxc4 19.bxc4 Ne5³ 17...Bxd5! 17...Nxd5= was the game. 18.cxd5 Rfc8 19.Rc6 Qa7 20.Rdc1 Ne5³ Black plays on the dark squares, or rather against White’s passive bishop.	Karpov	Gelfand	Cap d’Agde (Rapid)	2002	Karpov – Gelfand, Cap d’Agde (Rapid) 2002	389	389
510	priyome	academic	r3r1k1/1p3p1p/1npqbnp1/p2p4/3P4/P1NBP2P/1PQN1PP1/1RR3K1 w - - 0 1	white	b4 axb4 Rxb4 Nc4 Bxc4 dxc4 Nce4 Nxe4 Nxe4 Qe7 Nc5 Bf5 e4 Bxe4 Nxe4 Qxe4 Qxc4 Rad8 Rd1	b2b4 a5b4 b1b4 b6c4 d3c4 d5c4 c3e4 f6e4 d2e4 d6e7 e4c5 e6f5 e3e4 f5e4 c5e4 e7e4 c2c4 a8d8 c1d1	18.b4 axb4 19.Rxb4!± The b7-pawn is weak. 19.axb4 is a standard minority attack, intending b4-b5 to create a weak pawn on b7 or c6. Black has a long line that seems to equalize. Let’s leave it unannotated: 19...Nc4 20.Bxc4 dxc4 21.b5 c5! 22.Nce4 Nxe4 23.Nxe4 Qe7 24.Nxc5 Bf5 25.e4 Bxe4 26.Nxe4 Qxe4 27.Qxc4 Rad8 28.Rd1 Rd5©	Khalifman	Filippov	Sochi	2004	Khalifman – Filippov, Sochi 2004	389	389
511	priyome	academic	r1b2rk1/pp1nqpp1/2pb1n1p/4p3/2BP4/P1N1PN1P/1PQ2PP1/R1B2RK1 w - - 0 1	white	Nh4 Nb6 Nf5 Bc7 Rd1 Rd8 Nd6 Qxd6 dxe5 Qxe5 Bd3	f3h4 d7b6 h4f5 d6c7 f1d1 f8d8 f5d6 e7d6 d4e5 d6e5 c4d3	12.Nh4! Threatening 13.Ng6 and 13.Nf5. 12...Nb6 12...Qd8 moves the piece that’s part of both forks, but it’s passive. 13.Nf5 Bc7 14.Rd1±; 12...Rd8 13.Nf5 Qf8 14.Nxd6 Qxd6 15.Rd1 Black will miss the dark-squared bishop. 13.Ng6 Qc7 14.Nxe5! Or taking with the pawn first. 14.Nxf8? Nxc4– + and the knight is trapped on f8. 14...Bxe5 15.dxe5 Qxe5 16.Bd3± White has good chances with the bishop pair. Depending on Black’s next move, White will either mobilize the central pawns with f2- f4 and e3-e4 or develop the dark-squared bishop on b2.	Karpov	De Dovitiis	Villa Martelli (Simul)	2005	Karpov – De Dovitiis, Villa Martelli (Simul) 2005	390	390
512	priyome	academic	1r1q1rk1/5ppp/B1bp4/3Np1b1/pP2P3/8/1P3PPP/R2Q1RK1 w - - 0 1	white	Rxa4 Bxa4 Qxa4	a1a4 c6a4 d1a4	18.Rxa4! Bxa4 19.Qxa4² For the exchange, White has a passed pawn and firm control over the light squares. Black needs to redirect the bishop to d8 to keep the b-pawn under control.	Anand	Van Wely	Wijk aan Zee	2006	Anand – Van Wely, Wijk aan Zee 2006	391	391
